swap_species	2	3	4	5	6	7	8	9	10	15
1	0.272 ± 0.155	0.271 ± 0.148	0.269 ± 0.148	0.277 ± 0.154	0.272 ± 0.149	0.277 ± 0.151	0.265 ± 0.154	0.282 ± 0.149	0.268 ± 0.15	NA
2	0.277 ± 0.154	0.276 ± 0.155	0.27 ± 0.158	0.268 ± 0.156	0.28 ± 0.162	0.262 ± 0.144	0.275 ± 0.147	0.272 ± 0.157	0.282 ± 0.153	NA
3	0.269 ± 0.162	0.269 ± 0.146	0.273 ± 0.156	0.284 ± 0.156	0.27 ± 0.147	0.287 ± 0.158	0.274 ± 0.149	0.269 ± 0.146	0.268 ± 0.144	NA
4	0.273 ± 0.154	0.277 ± 0.16	0.278 ± 0.154	0.278 ± 0.146	0.283 ± 0.148	0.271 ± 0.154	0.267 ± 0.154	0.264 ± 0.156	0.272 ± 0.147	NA
5	0.274 ± 0.15	0.272 ± 0.147	0.262 ± 0.153	0.269 ± 0.149	0.269 ± 0.145	0.277 ± 0.16	0.272 ± 0.15	0.27 ± 0.154	0.273 ± 0.153	NA
6	0.268 ± 0.142	0.285 ± 0.154	0.273 ± 0.136	0.284 ± 0.132	0.27 ± 0.145	0.273 ± 0.155	0.27 ± 0.15	0.28 ± 0.148	0.275 ± 0.146	NA
7	0.284 ± 0.159	0.268 ± 0.147	0.273 ± 0.152	0.258 ± 0.139	0.267 ± 0.148	0.287 ± 0.164	0.268 ± 0.143	0.285 ± 0.162	0.265 ± 0.142	NA
8	0.265 ± 0.149	0.274 ± 0.144	0.279 ± 0.153	0.283 ± 0.148	0.277 ± 0.147	0.276 ± 0.159	0.268 ± 0.152	0.282 ± 0.153	0.266 ± 0.143	NA
9	0.275 ± 0.156	0.276 ± 0.144	0.286 ± 0.156	0.279 ± 0.144	0.283 ± 0.149	0.274 ± 0.16	0.273 ± 0.154	0.288 ± 0.153	0.296 ± 0.158	NA
10	0.267 ± 0.149	0.274 ± 0.154	0.272 ± 0.152	0.284 ± 0.17	0.272 ± 0.137	0.296 ± 0.157	0.295 ± 0.143	0.287 ± 0.148	0.283 ± 0.138	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.492 ± 0.166	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.972 ± 0.053
