swap_species	2	3	4	5	6	7	8	9	10	15
1	0.281 ± 0.15	0.285 ± 0.149	0.284 ± 0.15	0.282 ± 0.15	0.28 ± 0.148	0.283 ± 0.153	0.288 ± 0.155	0.288 ± 0.153	0.288 ± 0.151	NA
2	0.284 ± 0.15	0.288 ± 0.15	0.283 ± 0.146	0.283 ± 0.152	0.287 ± 0.153	0.279 ± 0.147	0.288 ± 0.15	0.283 ± 0.151	0.28 ± 0.15	NA
3	0.287 ± 0.149	0.279 ± 0.151	0.281 ± 0.15	0.29 ± 0.16	0.292 ± 0.16	0.292 ± 0.148	0.285 ± 0.142	0.286 ± 0.154	0.282 ± 0.143	NA
4	0.286 ± 0.144	0.281 ± 0.158	0.288 ± 0.154	0.285 ± 0.151	0.279 ± 0.154	0.285 ± 0.148	0.278 ± 0.15	0.284 ± 0.154	0.282 ± 0.146	NA
5	0.284 ± 0.153	0.284 ± 0.152	0.291 ± 0.155	0.282 ± 0.153	0.273 ± 0.145	0.287 ± 0.15	0.284 ± 0.142	0.292 ± 0.159	0.287 ± 0.151	NA
6	0.285 ± 0.156	0.283 ± 0.148	0.292 ± 0.153	0.288 ± 0.152	0.293 ± 0.15	0.295 ± 0.15	0.286 ± 0.152	0.288 ± 0.145	0.286 ± 0.15	NA
7	0.287 ± 0.156	0.296 ± 0.157	0.286 ± 0.147	0.288 ± 0.157	0.284 ± 0.156	0.292 ± 0.165	0.288 ± 0.154	0.294 ± 0.156	0.291 ± 0.144	NA
8	0.278 ± 0.148	0.285 ± 0.143	0.287 ± 0.15	0.285 ± 0.148	0.29 ± 0.158	0.297 ± 0.154	0.283 ± 0.156	0.285 ± 0.149	0.285 ± 0.151	NA
9	0.285 ± 0.143	0.279 ± 0.153	0.291 ± 0.15	0.286 ± 0.141	0.288 ± 0.149	0.292 ± 0.166	0.287 ± 0.145	0.298 ± 0.153	0.292 ± 0.159	NA
10	0.285 ± 0.147	0.275 ± 0.145	0.283 ± 0.147	0.293 ± 0.156	0.283 ± 0.153	0.283 ± 0.152	0.289 ± 0.151	0.284 ± 0.145	0.301 ± 0.131	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.52 ± 0.19	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.979 ± 0.043
