swap_species	2	3	4	5	6	7	8	9	10	15
1	0.347 ± 0.15	0.341 ± 0.148	0.344 ± 0.152	0.34 ± 0.151	0.343 ± 0.155	0.331 ± 0.145	0.341 ± 0.15	0.335 ± 0.15	0.338 ± 0.163	NA
2	0.343 ± 0.147	0.346 ± 0.149	0.337 ± 0.146	0.326 ± 0.147	0.35 ± 0.151	0.337 ± 0.149	0.341 ± 0.143	0.338 ± 0.151	0.334 ± 0.15	NA
3	0.338 ± 0.152	0.346 ± 0.151	0.339 ± 0.148	0.348 ± 0.151	0.34 ± 0.15	0.344 ± 0.157	0.341 ± 0.156	0.339 ± 0.153	0.332 ± 0.15	NA
4	0.335 ± 0.152	0.345 ± 0.156	0.337 ± 0.149	0.334 ± 0.152	0.348 ± 0.154	0.342 ± 0.144	0.348 ± 0.167	0.327 ± 0.154	0.346 ± 0.159	NA
5	0.341 ± 0.146	0.343 ± 0.162	0.342 ± 0.154	0.34 ± 0.159	0.338 ± 0.156	0.341 ± 0.159	0.346 ± 0.147	0.328 ± 0.143	0.334 ± 0.16	NA
6	0.344 ± 0.161	0.337 ± 0.144	0.332 ± 0.148	0.339 ± 0.144	0.333 ± 0.152	0.345 ± 0.165	0.33 ± 0.153	0.329 ± 0.159	0.334 ± 0.16	NA
7	0.342 ± 0.148	0.333 ± 0.16	0.327 ± 0.138	0.322 ± 0.161	0.332 ± 0.151	0.333 ± 0.153	0.335 ± 0.144	0.342 ± 0.169	0.333 ± 0.154	NA
8	0.335 ± 0.146	0.333 ± 0.148	0.328 ± 0.147	0.347 ± 0.137	0.339 ± 0.151	0.335 ± 0.165	0.313 ± 0.162	0.338 ± 0.144	0.328 ± 0.162	NA
9	0.341 ± 0.155	0.34 ± 0.154	0.341 ± 0.149	0.346 ± 0.146	0.345 ± 0.148	0.331 ± 0.148	0.35 ± 0.165	0.344 ± 0.158	0.332 ± 0.148	NA
10	0.339 ± 0.152	0.346 ± 0.157	0.328 ± 0.165	0.343 ± 0.157	0.328 ± 0.148	0.346 ± 0.162	0.328 ± 0.161	0.349 ± 0.15	0.342 ± 0.147	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.532 ± 0.172	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.977 ± 0.044
