swap_species	2	3	4	5	6	7	8	9	10	15
1	0.213 ± 0.134	0.208 ± 0.137	0.211 ± 0.137	0.212 ± 0.131	0.213 ± 0.13	0.212 ± 0.136	0.209 ± 0.132	0.208 ± 0.136	0.212 ± 0.135	NA
2	0.208 ± 0.135	0.213 ± 0.136	0.213 ± 0.139	0.212 ± 0.132	0.213 ± 0.139	0.21 ± 0.134	0.21 ± 0.136	0.209 ± 0.133	0.209 ± 0.124	NA
3	0.208 ± 0.137	0.214 ± 0.131	0.208 ± 0.13	0.21 ± 0.135	0.207 ± 0.13	0.208 ± 0.134	0.216 ± 0.133	0.213 ± 0.132	0.21 ± 0.137	NA
4	0.213 ± 0.136	0.21 ± 0.137	0.21 ± 0.128	0.213 ± 0.122	0.208 ± 0.136	0.208 ± 0.122	0.209 ± 0.134	0.205 ± 0.132	0.207 ± 0.125	NA
5	0.209 ± 0.134	0.207 ± 0.131	0.21 ± 0.136	0.215 ± 0.127	0.206 ± 0.133	0.2 ± 0.135	0.207 ± 0.137	0.208 ± 0.126	0.207 ± 0.124	NA
6	0.208 ± 0.135	0.209 ± 0.132	0.214 ± 0.131	0.208 ± 0.138	0.216 ± 0.136	0.209 ± 0.13	0.218 ± 0.139	0.209 ± 0.134	0.214 ± 0.137	NA
7	0.212 ± 0.141	0.218 ± 0.137	0.203 ± 0.134	0.205 ± 0.136	0.208 ± 0.129	0.215 ± 0.131	0.217 ± 0.136	0.206 ± 0.125	0.213 ± 0.143	NA
8	0.21 ± 0.134	0.218 ± 0.138	0.212 ± 0.135	0.208 ± 0.127	0.226 ± 0.141	0.207 ± 0.128	0.223 ± 0.144	0.208 ± 0.132	0.21 ± 0.143	NA
9	0.211 ± 0.135	0.206 ± 0.127	0.204 ± 0.133	0.213 ± 0.129	0.213 ± 0.129	0.212 ± 0.152	0.209 ± 0.137	0.219 ± 0.138	0.212 ± 0.133	NA
10	0.207 ± 0.135	0.209 ± 0.134	0.213 ± 0.135	0.212 ± 0.137	0.211 ± 0.133	0.221 ± 0.138	0.215 ± 0.13	0.22 ± 0.126	0.207 ± 0.127	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.518 ± 0.166	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.973 ± 0.047
