swap_species	2	3	4	5	6	7	8	9	10	15
1	0.206 ± 0.137	0.203 ± 0.136	0.205 ± 0.135	0.2 ± 0.138	0.203 ± 0.133	0.205 ± 0.138	0.21 ± 0.136	0.203 ± 0.136	0.203 ± 0.126	NA
2	0.2 ± 0.13	0.206 ± 0.134	0.2 ± 0.14	0.208 ± 0.134	0.2 ± 0.132	0.198 ± 0.126	0.206 ± 0.134	0.203 ± 0.137	0.209 ± 0.137	NA
3	0.205 ± 0.131	0.206 ± 0.14	0.208 ± 0.137	0.21 ± 0.135	0.204 ± 0.141	0.193 ± 0.14	0.206 ± 0.139	0.199 ± 0.134	0.208 ± 0.134	NA
4	0.208 ± 0.14	0.203 ± 0.138	0.208 ± 0.135	0.198 ± 0.138	0.204 ± 0.131	0.203 ± 0.135	0.203 ± 0.137	0.205 ± 0.131	0.207 ± 0.139	NA
5	0.2 ± 0.137	0.205 ± 0.136	0.201 ± 0.134	0.203 ± 0.14	0.2 ± 0.137	0.2 ± 0.13	0.208 ± 0.134	0.199 ± 0.131	0.195 ± 0.137	NA
6	0.213 ± 0.133	0.205 ± 0.131	0.205 ± 0.13	0.203 ± 0.142	0.19 ± 0.14	0.191 ± 0.144	0.201 ± 0.14	0.203 ± 0.141	0.207 ± 0.123	NA
7	0.207 ± 0.137	0.202 ± 0.136	0.205 ± 0.15	0.202 ± 0.135	0.193 ± 0.138	0.198 ± 0.134	0.203 ± 0.134	0.199 ± 0.14	0.196 ± 0.132	NA
8	0.206 ± 0.14	0.21 ± 0.141	0.201 ± 0.133	0.21 ± 0.142	0.201 ± 0.143	0.207 ± 0.135	0.204 ± 0.143	0.193 ± 0.141	0.184 ± 0.126	NA
9	0.199 ± 0.141	0.207 ± 0.133	0.206 ± 0.14	0.204 ± 0.136	0.201 ± 0.135	0.199 ± 0.132	0.208 ± 0.129	0.202 ± 0.137	0.207 ± 0.145	NA
10	0.2 ± 0.139	0.203 ± 0.134	0.206 ± 0.131	0.203 ± 0.126	0.217 ± 0.145	0.218 ± 0.143	0.213 ± 0.137	0.2 ± 0.14	0.216 ± 0.14	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.449 ± 0.172	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.98 ± 0.036
