swap_species	2	3	4	5	6	7	8	9	10	15
1	0.236 ± 0.156	0.234 ± 0.159	0.234 ± 0.159	0.228 ± 0.152	0.238 ± 0.158	0.229 ± 0.15	0.237 ± 0.157	0.23 ± 0.154	0.236 ± 0.16	NA
2	0.234 ± 0.16	0.235 ± 0.156	0.238 ± 0.158	0.234 ± 0.157	0.231 ± 0.153	0.228 ± 0.149	0.233 ± 0.15	0.238 ± 0.153	0.231 ± 0.158	NA
3	0.234 ± 0.155	0.242 ± 0.161	0.231 ± 0.154	0.238 ± 0.152	0.233 ± 0.152	0.231 ± 0.152	0.235 ± 0.159	0.236 ± 0.152	0.238 ± 0.154	NA
4	0.233 ± 0.16	0.233 ± 0.154	0.234 ± 0.154	0.238 ± 0.155	0.237 ± 0.152	0.236 ± 0.158	0.233 ± 0.157	0.233 ± 0.149	0.237 ± 0.15	NA
5	0.239 ± 0.157	0.234 ± 0.154	0.233 ± 0.154	0.239 ± 0.152	0.238 ± 0.15	0.233 ± 0.154	0.246 ± 0.157	0.24 ± 0.152	0.245 ± 0.156	NA
6	0.238 ± 0.154	0.234 ± 0.152	0.236 ± 0.157	0.241 ± 0.147	0.233 ± 0.154	0.229 ± 0.141	0.241 ± 0.162	0.233 ± 0.145	0.238 ± 0.153	NA
7	0.232 ± 0.152	0.231 ± 0.144	0.238 ± 0.153	0.238 ± 0.158	0.241 ± 0.153	0.245 ± 0.159	0.23 ± 0.158	0.239 ± 0.144	0.236 ± 0.154	NA
8	0.241 ± 0.155	0.237 ± 0.157	0.233 ± 0.151	0.236 ± 0.146	0.242 ± 0.156	0.235 ± 0.145	0.238 ± 0.157	0.235 ± 0.156	0.243 ± 0.161	NA
9	0.245 ± 0.153	0.239 ± 0.154	0.238 ± 0.156	0.238 ± 0.141	0.233 ± 0.153	0.239 ± 0.158	0.242 ± 0.156	0.256 ± 0.155	0.233 ± 0.147	NA
10	0.239 ± 0.159	0.236 ± 0.152	0.228 ± 0.148	0.242 ± 0.147	0.245 ± 0.152	0.238 ± 0.154	0.242 ± 0.14	0.243 ± 0.147	0.24 ± 0.144	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.469 ± 0.176	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.978 ± 0.047
