swap_species	2	3	4	5	6	7	8	9	10	15
1	0.228 ± 0.124	0.231 ± 0.129	0.233 ± 0.117	0.232 ± 0.125	0.236 ± 0.125	0.225 ± 0.125	0.234 ± 0.128	0.229 ± 0.128	0.22 ± 0.129	NA
2	0.235 ± 0.124	0.24 ± 0.133	0.239 ± 0.131	0.23 ± 0.121	0.246 ± 0.13	0.232 ± 0.131	0.233 ± 0.132	0.226 ± 0.128	0.236 ± 0.125	NA
3	0.228 ± 0.125	0.237 ± 0.12	0.23 ± 0.129	0.231 ± 0.131	0.239 ± 0.134	0.235 ± 0.131	0.222 ± 0.129	0.232 ± 0.127	0.229 ± 0.129	NA
4	0.232 ± 0.124	0.232 ± 0.122	0.238 ± 0.127	0.238 ± 0.136	0.238 ± 0.135	0.236 ± 0.129	0.228 ± 0.131	0.222 ± 0.138	0.231 ± 0.119	NA
5	0.23 ± 0.119	0.224 ± 0.132	0.226 ± 0.132	0.234 ± 0.131	0.233 ± 0.132	0.229 ± 0.135	0.229 ± 0.133	0.222 ± 0.128	0.218 ± 0.121	NA
6	0.221 ± 0.116	0.222 ± 0.137	0.23 ± 0.135	0.226 ± 0.129	0.228 ± 0.135	0.241 ± 0.141	0.252 ± 0.13	0.224 ± 0.13	0.243 ± 0.138	NA
7	0.234 ± 0.131	0.229 ± 0.132	0.235 ± 0.127	0.233 ± 0.121	0.248 ± 0.142	0.241 ± 0.133	0.235 ± 0.132	0.233 ± 0.13	0.231 ± 0.132	NA
8	0.233 ± 0.132	0.243 ± 0.127	0.228 ± 0.128	0.244 ± 0.139	0.224 ± 0.134	0.23 ± 0.134	0.241 ± 0.137	0.243 ± 0.131	0.249 ± 0.137	NA
9	0.235 ± 0.138	0.235 ± 0.124	0.233 ± 0.135	0.239 ± 0.124	0.246 ± 0.128	0.241 ± 0.152	0.247 ± 0.125	0.222 ± 0.137	0.233 ± 0.133	NA
10	0.233 ± 0.12	0.236 ± 0.121	0.238 ± 0.128	0.233 ± 0.134	0.244 ± 0.143	0.243 ± 0.14	0.238 ± 0.141	0.234 ± 0.13	0.248 ± 0.124	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.522 ± 0.174	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.97 ± 0.05
