swap_species	2	3	4	5	6	7	8	9	10	15
1	0.148 ± 0.123	0.151 ± 0.122	0.156 ± 0.123	0.151 ± 0.126	0.15 ± 0.119	0.153 ± 0.122	0.151 ± 0.122	0.144 ± 0.118	0.154 ± 0.118	NA
2	0.151 ± 0.122	0.148 ± 0.119	0.151 ± 0.122	0.151 ± 0.12	0.162 ± 0.129	0.156 ± 0.122	0.151 ± 0.122	0.153 ± 0.117	0.154 ± 0.123	NA
3	0.154 ± 0.122	0.153 ± 0.121	0.153 ± 0.127	0.156 ± 0.122	0.157 ± 0.119	0.149 ± 0.119	0.162 ± 0.131	0.158 ± 0.119	0.148 ± 0.115	NA
4	0.15 ± 0.122	0.152 ± 0.118	0.149 ± 0.119	0.156 ± 0.127	0.155 ± 0.12	0.155 ± 0.12	0.156 ± 0.118	0.145 ± 0.126	0.157 ± 0.122	NA
5	0.156 ± 0.125	0.151 ± 0.124	0.16 ± 0.118	0.158 ± 0.125	0.152 ± 0.124	0.147 ± 0.117	0.163 ± 0.12	0.153 ± 0.116	0.147 ± 0.118	NA
6	0.164 ± 0.127	0.165 ± 0.124	0.152 ± 0.117	0.158 ± 0.118	0.159 ± 0.127	0.162 ± 0.131	0.172 ± 0.132	0.153 ± 0.115	0.16 ± 0.12	NA
7	0.156 ± 0.123	0.157 ± 0.125	0.163 ± 0.121	0.167 ± 0.12	0.168 ± 0.127	0.152 ± 0.12	0.158 ± 0.122	0.152 ± 0.12	0.152 ± 0.113	NA
8	0.15 ± 0.118	0.159 ± 0.116	0.157 ± 0.116	0.16 ± 0.137	0.163 ± 0.121	0.178 ± 0.123	0.164 ± 0.118	0.168 ± 0.128	0.179 ± 0.123	NA
9	0.151 ± 0.12	0.155 ± 0.12	0.163 ± 0.126	0.164 ± 0.123	0.162 ± 0.128	0.178 ± 0.128	0.174 ± 0.114	0.166 ± 0.124	0.173 ± 0.121	NA
10	0.149 ± 0.122	0.172 ± 0.129	0.153 ± 0.119	0.165 ± 0.11	0.173 ± 0.123	0.185 ± 0.136	0.18 ± 0.127	0.175 ± 0.128	0.168 ± 0.123	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.381 ± 0.171	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.983 ± 0.034
