swap_species	2	3	4	5	6	7	8	9	10	15
1	0.221 ± 0.145	0.221 ± 0.145	0.223 ± 0.141	0.218 ± 0.134	0.219 ± 0.144	0.218 ± 0.143	0.226 ± 0.141	0.218 ± 0.141	0.219 ± 0.141	NA
2	0.219 ± 0.144	0.223 ± 0.147	0.218 ± 0.143	0.224 ± 0.148	0.213 ± 0.15	0.218 ± 0.142	0.223 ± 0.145	0.223 ± 0.143	0.225 ± 0.15	NA
3	0.216 ± 0.142	0.217 ± 0.144	0.224 ± 0.143	0.214 ± 0.142	0.224 ± 0.138	0.222 ± 0.15	0.217 ± 0.149	0.218 ± 0.142	0.237 ± 0.146	NA
4	0.21 ± 0.142	0.228 ± 0.145	0.22 ± 0.142	0.218 ± 0.141	0.227 ± 0.144	0.225 ± 0.147	0.218 ± 0.15	0.217 ± 0.142	0.229 ± 0.143	NA
5	0.228 ± 0.145	0.223 ± 0.143	0.227 ± 0.141	0.219 ± 0.145	0.23 ± 0.149	0.221 ± 0.148	0.237 ± 0.141	0.228 ± 0.145	0.232 ± 0.139	NA
6	0.227 ± 0.141	0.226 ± 0.145	0.233 ± 0.139	0.228 ± 0.151	0.231 ± 0.143	0.229 ± 0.146	0.238 ± 0.144	0.238 ± 0.153	0.243 ± 0.159	NA
7	0.224 ± 0.138	0.224 ± 0.144	0.222 ± 0.149	0.222 ± 0.144	0.227 ± 0.147	0.24 ± 0.152	0.221 ± 0.136	0.23 ± 0.144	0.229 ± 0.145	NA
8	0.224 ± 0.141	0.224 ± 0.146	0.233 ± 0.144	0.227 ± 0.154	0.235 ± 0.137	0.249 ± 0.145	0.233 ± 0.153	0.24 ± 0.151	0.242 ± 0.148	NA
9	0.225 ± 0.153	0.243 ± 0.15	0.241 ± 0.151	0.245 ± 0.14	0.235 ± 0.155	0.242 ± 0.16	0.233 ± 0.144	0.243 ± 0.143	0.238 ± 0.149	NA
10	0.238 ± 0.15	0.231 ± 0.15	0.233 ± 0.155	0.23 ± 0.147	0.247 ± 0.154	0.249 ± 0.144	0.262 ± 0.15	0.25 ± 0.147	0.248 ± 0.145	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.437 ± 0.157	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.978 ± 0.042
