swap_species	2	3	4	5	6	7	8	9	10	15
1	0.2 ± 0.136	0.203 ± 0.137	0.205 ± 0.147	0.2 ± 0.144	0.205 ± 0.137	0.2 ± 0.134	0.203 ± 0.14	0.198 ± 0.132	0.203 ± 0.142	NA
2	0.198 ± 0.14	0.201 ± 0.144	0.205 ± 0.139	0.203 ± 0.146	0.205 ± 0.143	0.208 ± 0.136	0.195 ± 0.142	0.209 ± 0.142	0.201 ± 0.14	NA
3	0.202 ± 0.149	0.202 ± 0.137	0.196 ± 0.138	0.202 ± 0.138	0.202 ± 0.127	0.196 ± 0.137	0.206 ± 0.138	0.201 ± 0.148	0.213 ± 0.139	NA
4	0.206 ± 0.134	0.201 ± 0.131	0.206 ± 0.138	0.197 ± 0.135	0.208 ± 0.132	0.212 ± 0.145	0.21 ± 0.141	0.202 ± 0.134	0.214 ± 0.145	NA
5	0.202 ± 0.146	0.208 ± 0.138	0.21 ± 0.141	0.208 ± 0.14	0.198 ± 0.139	0.199 ± 0.138	0.206 ± 0.142	0.195 ± 0.128	0.201 ± 0.145	NA
6	0.213 ± 0.138	0.204 ± 0.13	0.21 ± 0.143	0.202 ± 0.134	0.209 ± 0.153	0.208 ± 0.146	0.205 ± 0.129	0.209 ± 0.147	0.209 ± 0.147	NA
7	0.206 ± 0.141	0.21 ± 0.143	0.198 ± 0.136	0.213 ± 0.148	0.203 ± 0.133	0.211 ± 0.136	0.222 ± 0.143	0.205 ± 0.12	0.213 ± 0.133	NA
8	0.203 ± 0.143	0.206 ± 0.141	0.208 ± 0.132	0.211 ± 0.132	0.214 ± 0.148	0.213 ± 0.142	0.24 ± 0.159	0.218 ± 0.146	0.221 ± 0.16	NA
9	0.2 ± 0.131	0.203 ± 0.133	0.204 ± 0.137	0.223 ± 0.151	0.214 ± 0.141	0.208 ± 0.148	0.228 ± 0.155	0.224 ± 0.154	0.228 ± 0.155	NA
10	0.201 ± 0.141	0.205 ± 0.133	0.222 ± 0.159	0.218 ± 0.141	0.204 ± 0.137	0.23 ± 0.146	0.22 ± 0.149	0.223 ± 0.141	0.223 ± 0.149	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.444 ± 0.186	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.973 ± 0.044
